combo
original_ID,original_Pref Class Yr,original_First Name,original_Prim_Last,original_Pref_First,original_Pref_Last,original_Address 1,original_Address 2,original_City,original_State,original_Postal,original_Country,original_Phone,original_Email,lat,lon,postcode,city,county,state,state_code,country,country_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100001,2010,John,Doe,John,Doe,123 Main St,,San Francisco,CA,94102,USA,555-0001,john.doe@example.com,37.7749,-122.4194,94102,San Francisco,San Francisco County,California,CA,United States,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100002,2011,Jane,Smith,Jane,Smith,456 Oak Ave,,New York,NY,10001,USA,555-0002,jane.smith@example.com,40.7128,-74.0060,10001,New York,New York County,New York,NY,United States,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100003,2012,Robert,Johnson,Robert,Johnson,789 Pine Rd,,Chicago,IL,60601,USA,555-0003,robert.johnson@example.com,41.8781,-87.6298,60601,Chicago,Cook County,Illinois,IL,United States,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100004,2013,Emily,Williams,Emily,Williams,321 Elm St,,Boston,MA,02101,USA,555-0004,emily.williams@example.com,42.3601,-71.0589,02101,Boston,Suffolk County,Massachusetts,MA,United States,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100005,2014,Michael,Brown,Michael,Brown,654 Maple Dr,,Seattle,WA,98101,USA,555-0005,michael.brown@example.com,47.6062,-122.3321,98101,Seattle,King County,Washington,WA,United States,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100006,2015,Sarah,Davis,Sarah,Davis,987 Cedar Ln,,Austin,TX,78701,USA,555-0006,sarah.davis@example.com,30.2672,-97.7431,78701,Austin,Travis County,Texas,TX,United States,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100007,2016,David,Miller,David,Miller,147 Birch Way,,Denver,CO,80202,USA,555-0007,david.miller@example.com,39.7392,-104.9903,80202,Denver,Denver County,Colorado,CO,United States,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100008,2017,Lisa,Wilson,Lisa,Wilson,258 Spruce Ct,,Portland,OR,97201,USA,555-0008,lisa.wilson@example.com,45.5152,-122.6784,97201,Portland,Multnomah County,Oregon,OR,United States,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100009,2018,James,Moore,James,Moore,369 Ash Blvd,,Miami,FL,33101,USA,555-0009,james.moore@example.com,25.7617,-80.1918,33101,Miami,Miami-Dade County,Florida,FL,United States,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100010,2019,Jennifer,Taylor,Jennifer,Taylor,741 Walnut St,,Atlanta,GA,30301,USA,555-0010,jennifer.taylor@example.com,33.7490,-84.3880,30301,Atlanta,Fulton County,Georgia,GA,United States,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100011,2020,William,Anderson,William,Anderson,852 Cherry Ave,,Phoenix,AZ,85001,USA,555-0011,william.anderson@example.com,33.4484,-112.0740,85001,Phoenix,Maricopa County,Arizona,AZ,United States,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100012,2021,Mary,Thomas,Mary,Thomas,963 Poplar Dr,,Philadelphia,PA,19101,USA,555-0012,mary.thomas@example.com,39.9526,-75.1652,19101,Philadelphia,Philadelphia County,Pennsylvania,PA,United States,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100013,2022,Christopher,Jackson,Christopher,Jackson,159 Willow Rd,,San Diego,CA,92101,USA,555-0013,christopher.jackson@example.com,32.7157,-117.1611,92101,San Diego,San Diego County,California,CA,United States,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100014,2023,Patricia,White,Patricia,White,357 Hickory Ln,,Dallas,TX,75201,USA,555-0014,patricia.white@example.com,32.7767,-96.7970,75201,Dallas,Dallas County,Texas,TX,United States,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100015,2024,Daniel,Harris,Daniel,Harris,486 Magnolia St,,Houston,TX,77001,USA,555-0015,daniel.harris@example.com,29.7604,-95.3698,77001,Houston,Harris County,Texas,TX,United States,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
